year,accuracy,f1_score,auc
079,0.6446,0.6446,0.6440661368707742
080,0.6785,0.6708,0.6336013690965876
081,0.6633,0.6621,0.6553610983360643
079,0.6454,0.6454,0.6449162803183249
080,0.6786,0.6707,0.6333416382780191
081,0.6636,0.6624,0.6555728281687978
079,0.6454,0.6454,0.7087652605264778
079,0.6454,0.6454,0.7087652605264778
080,0.6786,0.6707,0.7071870899289777
079,0.6454,0.6454,0.7087652605264778
080,0.6786,0.6707,0.7071870899289777
079,0.6454,0.6454,0.7087652605264778
080,0.6786,0.6707,0.7071870899289777
079,0.6454,0.6454,0.7087652605264778
